Year,Holy Year,Total Pilgrims,Gender,Number of Pilgrims by Gender,Completed by,Completed by Number of Pilgrims,Motivation,Motivation Number of Pilgrims,Nationality,Lat,Long,Number of Pilgrims by Nationality,Region Started,Number of Pilgrims per Region Started,Camino Route,Number of Pilgrims per Route,Age Range,Number of Pilgrims per Age Range
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Alemania ,1,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Perú ,-6.8699697,-75.0458515,76,Arles ,560,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Artieda ,1,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Reino Unido ,54.7023545,-3.2765753,1432,Astorga ,6944,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Haití ,19.1399952,-72.3570972,3,Austria ,73,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,El Salvador ,13.8000382,-88.9140683,13,Avilés ,248,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mozambique ,-19.302233,34.9144977,1,Badajoz ,12,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Angola ,-11.8775768,17.5691241,2,Barcelona ,65,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Croacia ,45.5643442,17.0118954,18,Bélgica ,327,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sri Lanka ,7.5554942,80.7137847,1,Benavente ,10,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Betanzos ,2,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,India ,22.3511148,78.6677428,13,Bilbao ,244,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bulgaria ,42.6073975,25.4856617,16,Braga ,282,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canadá ,61.0666922,-107.991707,1090,Burgos ,3227,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Malasia ,4.5693754,102.2656823,2,Cáceres ,43,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Kenya ,1.4419683,38.4313975,5,Canfranc ,121,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cangas de Morrazo ,1,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Rep. Dominicana ,19.0974031,-70.3028026,23,Carrión de los Condes ,365,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ghana ,8.0300284,-1.0800271,3,Cast. la Mancha ,76,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Rep. de Corea ,36.5,127.75,18,Castilla La Mancha ,295,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Castilla la Mancha ,4,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nigeria ,9.6000359,7.9999721,4,Castrojeriz ,90,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Turquía ,38.9597594,34.9249653,7,Cataluña ,160,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cea ,2,NULL,NULL,NULL,NULL
2004,NULL,NULL,Female,79513,Bike,21260,Religious and other,35528,Italia ,42.6384261,12.674297,7670,Cebreiro ,20695,Camino Portugués ,15839,30 - 60 ,66783
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,San Marino ,43.9458623,12.458306,4,Com. Valenciana ,85,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mónaco ,43.733334,7.416667,1,Córdoba ,13,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dinamarca ,7,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,El Escamplero ,1,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Albania ,41.000028,19.9999619,11,Estella ,190,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Venezuela ,8.0018709,-66.1109318,587,Ferrol ,1871,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,China ,35.000074,104.999927,15,Finisterra ,256,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Finlandia ,6,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Herzegovina ,43.9165389,17.6721508,1,Fonfría ,21,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Grecia ,38.9953683,21.9877132,4,Fonsagrada ,96,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,República Checa ,49.8167003,15.4749544,153,Fonsagrada - C.P. ,843,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Irlanda ,52.865196,-7.9794599,563,Francia ,1843,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Puerto Rico ,18.2214149,-66.4132818,61,Frómista ,553,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Lituania ,55.3500003,23.7499997,12,Gijón ,201,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Grado ,7,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aruba ,12.517572,-69.9649462,1,Granada ,31,NULL,NULL,NULL,NULL
